RK,YEAR,PLAYER,TEAM,CONF,MIN%,TS,OR,DR,AST,TO,BLK,STL,FTR,AST,REB,PTS
78,Sr,Marcus Hammond,Notre Dame,ACC,47.5,57.5,2,10.2,13.2,11.4,1.1,1.2,15,1.6,2.6,9.9
79,Sr,T.J. Bickerstaff,Boston College,ACC,46.7,50.4,13,22.9,12.7,21.7,3.4,2.8,37.8,1.2,5.6,5.2
80,Fr,Chris Bunch,Syracuse,ACC,46.6,52.8,1.4,8.5,4.2,13.9,1.9,0.7,11.2,0.5,1.8,6.6
81,Fr,Dereck Lively II,Duke,ACC,46.6,65.7,12.6,16.6,10.4,14.9,12.7,1.6,30.4,1.1,5,5.4
82,Jr,Deivon Smith,Georgia Tech,ACC,45.8,43.1,5.6,20.1,31.1,13.7,3,2.1,14.8,3.7,5.6,8
83,Sr,Ryan Young,Duke,ACC,45.7,71.3,15.8,20.7,15.1,21.3,2.9,1,50,1.4,5.8,6.6
84,Fr,Maliq Brown,Syracuse,ACC,45.3,68.6,11.4,14.1,7.2,17.2,3,2.6,28.3,0.8,4.6,5.7
85,Jr,Darius Maddox,Virginia Tech,ACC,44.5,46.3,5.4,7.3,6.5,7.3,1.3,1.1,14,1.1,3.1,8.4
86,Sr,Sydney Curry,Louisville,ACC,43.8,53.7,10.3,19.5,4.4,22.2,1.6,0.9,45.8,0.3,4.3,4.9
87,Sr,Jack Clark,North Carolina St.,ACC,43.5,54.6,8.4,20.8,10.3,6.4,1.7,3.8,14.3,1.6,6.7,9.3
88,So,Devin McGlockton,Boston College,ACC,43.4,62,10.1,16.8,10.7,17.1,4.9,1.8,44,0.9,3.9,6.1
89,Fr,Prince Aligbe,Boston College,ACC,43.2,44,6,18.8,5.8,18.3,0.8,1.1,27.5,0.6,4.4,6.1
90,So,Matthew Marsh,Wake Forest,ACC,41.1,80.4,7,19.8,3.6,10.2,1.2,0.5,45.7,0.3,4.2,6.1
91,Sr,Jacob Grandison,Duke,ACC,39.5,53.7,3.1,11.7,15.1,14.6,0.4,1.6,13.6,1.3,2.1,4.4
92,Jr,Kadin Shedrick,Virginia,ACC,38.7,70.2,8,17.8,7.6,15.7,10.1,3.1,66.7,0.6,3.5,5.9
93,Fr,Dariq Whitehead,Duke,ACC,38.3,53.5,2.8,10.5,10.2,19,0.8,2.3,14.1,1,2.3,8.1
94,Fr,Ven-Allen Lubin,Notre Dame,ACC,38,59.7,10.8,19.5,4.3,13.6,5.1,1.1,23.7,0.4,4.4,6.2
95,Fr,Justin Taylor,Syracuse,ACC,37.8,52.1,1.5,10.2,6.6,7,1.5,2,19.6,0.7,1.8,4.2
96,Sr,Quinten Post,Boston College,ACC,36.8,62.8,6.8,19.6,15.2,17.4,4.1,0.5,24.5,1.5,5.6,15.1
97,Sr,Alex Hemenway,Clemson,ACC,35.9,68.8,0.8,7.4,7.8,13.6,0.5,1.1,17.4,1.1,1.8,6.8
